corner_index,x,y
0,201.376999,140.387894
1,221.520691,139.661728
2,243.502869,139.527161
3,266.898376,139.762527
4,292.441345,140.295425
5,319.057434,140.800552
6,345.744568,141.267822
7,371.050171,141.530899
8,394.432159,141.561417
9,195.985260,165.058868
10,217.751038,165.400696
11,240.572388,166.184464
12,265.219635,166.840302
13,291.132416,167.916962
14,317.682617,168.794495
15,344.262909,169.701538
16,369.865234,170.558167
17,394.617096,171.225021
18,192.795273,190.718384
19,215.361038,191.682022
20,238.961960,192.925537
21,263.817657,194.301575
22,289.866608,195.477386
23,316.339020,196.625198
24,342.794159,198.047333
25,368.559998,199.540268
26,393.788361,200.776733
27,190.344711,217.073608
28,213.703491,218.468216
29,237.580872,219.926498
30,262.787811,221.406601
31,288.842163,223.021271
32,315.036224,224.628036
33,341.288513,226.563370
34,367.100708,228.470642
35,393.128326,230.397675
36,188.752914,243.396698
37,212.170242,245.161453
38,236.424362,247.016800
39,261.440918,249.073776
40,287.747253,250.852463
41,313.748718,252.781876
42,339.845825,255.238419
43,365.853638,257.444366
44,391.972168,260.255554
45,187.375824,269.572815
46,210.662247,271.749146
47,235.149643,274.130341
48,260.339722,276.202576
49,286.425323,278.460175
50,312.618713,281.097015
51,338.461700,283.857086
52,364.635651,286.827820
53,390.797729,290.092529
