corner_index,x,y
0,472.856506,277.243439
1,443.748566,275.751007
2,415.868683,274.219208
3,388.831573,272.842865
4,362.881470,271.417297
5,337.840546,270.282471
6,313.771545,268.903046
7,290.471100,268.019958
8,267.851013,266.798553
9,472.898010,248.598770
10,443.950256,247.428940
11,415.814270,246.507278
12,389.304016,245.492844
13,363.380585,244.423340
14,338.594116,243.555847
15,314.315247,243.050705
16,291.348236,242.151550
17,268.547974,241.481522
18,472.914398,220.336594
19,443.901398,219.436127
20,416.492401,218.901917
21,389.616821,218.135574
22,364.117920,217.652527
23,339.410980,217.134674
24,315.482239,216.784546
25,292.433777,216.601822
26,270.182098,216.152374
27,473.579376,191.950317
28,446.264587,192.639984
29,419.514771,193.260284
30,392.683960,192.613525
31,365.811401,191.460648
32,340.478943,190.669907
33,316.955414,190.855698
34,294.133972,191.042435
35,271.843597,191.345718
36,474.562195,164.703934
37,448.106079,166.408142
38,422.215057,167.540466
39,395.757294,167.591599
40,369.483368,167.112289
41,343.415009,165.502045
42,318.894104,165.476578
43,296.354004,165.971359
44,274.234314,166.627701
45,475.663696,137.721405
46,449.556122,140.034393
47,424.466949,142.105713
48,398.658356,143.048721
49,372.472351,142.489502
50,346.349579,140.515259
51,321.684998,140.505310
52,298.521698,141.328384
53,276.325653,142.147186
