corner_index,x,y
0,425.288147,187.845901
1,408.310822,197.252762
2,390.716095,206.789001
3,372.421326,216.350311
4,353.656006,226.208084
5,334.149017,236.106232
6,314.291656,246.324783
7,293.867462,256.844299
8,273.281128,267.398926
9,417.848419,167.122910
10,400.984528,176.236374
11,383.393890,185.369278
12,364.834839,194.753387
13,345.671295,204.584534
14,326.086578,214.462387
15,306.004303,224.468414
16,285.678711,234.757828
17,264.620605,245.240036
18,410.218048,145.972610
19,393.481659,154.743668
20,375.370911,163.859161
21,356.858185,173.082718
22,337.431702,182.627625
23,317.411346,192.378769
24,297.144714,202.305450
25,276.507690,212.391174
26,255.313904,222.644669
27,401.533417,124.869293
28,382.660187,134.210373
29,363.911011,143.521835
30,345.669556,152.236877
31,327.222443,160.812790
32,308.014740,170.038864
33,287.465576,179.866852
34,266.517975,189.642868
35,245.247330,200.075272
36,391.464783,104.313553
37,372.186310,113.567581
38,352.926147,122.787262
39,334.252380,131.510803
40,315.549530,140.225220
41,297.313293,148.337418
42,277.195526,157.533676
43,256.308167,167.404907
44,234.907867,177.306427
45,381.416260,83.634285
46,361.759583,93.031197
47,342.227844,102.185547
48,323.036377,111.135155
49,304.538940,119.257645
50,286.463745,126.717758
51,266.543060,135.541794
52,245.690582,145.153519
53,224.406769,154.799774
