corner_index,x,y
0,257.458832,134.917892
1,280.226257,134.648804
2,302.687256,134.540298
3,325.516541,134.498352
4,348.276886,134.432983
5,370.603119,134.422882
6,393.521423,134.270065
7,415.836121,134.247986
8,438.204407,134.256989
9,257.515808,157.652878
10,280.339142,157.520493
11,302.770630,157.352081
12,325.474487,157.236099
13,348.277679,157.011337
14,370.608856,156.707748
15,393.476807,156.709503
16,415.916382,156.541916
17,438.523682,156.536163
18,257.594666,180.366196
19,280.415771,180.191437
20,302.995911,179.741486
21,325.523773,179.636612
22,348.256775,179.552582
23,370.587341,179.487976
24,393.438934,179.443848
25,415.820190,179.435043
26,438.554901,179.318573
27,257.699036,202.823685
28,280.550690,202.482330
29,303.231445,202.464386
30,325.529480,202.339127
31,348.339935,202.142181
32,370.552460,202.112701
33,393.438995,201.934631
34,415.687317,201.682510
35,438.429443,201.590912
36,258.323364,225.399841
37,280.648438,225.216553
38,303.408447,224.752975
39,325.574127,224.622849
40,348.380371,224.522446
41,370.567719,224.497131
42,393.334015,224.418152
43,415.599518,224.285309
44,438.237762,223.986221
45,258.467010,247.552063
46,281.014221,247.455444
47,303.429352,247.383682
48,325.743103,247.056808
49,348.433746,246.869797
50,370.610962,246.609222
51,393.289886,246.554031
52,415.598938,246.396286
53,438.037842,246.347061
