index,count_before,mean_before,std_before,median_before,mean_abs_before,max_abs_before,p95_abs_before,count_after,mean_after,std_after,median_after,mean_abs_after,max_abs_after,p95_abs_after
1,54,11.875244,0.603167,11.822197,11.875244,13.062500,12.805833,54,0.265643,0.198258,0.276230,0.299073,0.643494,0.528571
2,54,12.545634,0.617453,12.596992,12.545634,13.790634,13.519007,54,0.539145,0.211117,0.573944,0.539145,1.102814,0.828042
3,54,11.069675,0.548652,11.148117,11.069675,12.013992,11.725273,54,-0.157339,0.301035,-0.191742,0.270118,0.739975,0.657957
4,54,11.512582,0.570935,11.532753,11.512582,12.583771,12.369368,54,0.043573,0.150281,0.044548,0.128718,0.310547,0.286876
5,54,12.081367,0.484899,12.086529,12.081367,12.945084,12.844019,54,0.002637,0.211292,0.020370,0.153612,0.616943,0.402614
6,54,11.383193,0.494542,11.355339,11.383193,12.251572,12.145009,54,0.059446,0.115048,0.046234,0.099937,0.379395,0.239473
7,54,11.401143,0.730167,11.421066,11.401143,12.637695,12.578914,54,0.060140,0.205142,0.056404,0.160196,0.605820,0.429298
8,54,11.403629,0.539927,11.341618,11.403629,12.718948,12.398874,54,-0.548585,0.325753,-0.454041,0.549838,1.334518,1.183835
9,54,11.643331,0.421677,11.600983,11.643331,12.592285,12.308372,54,-0.200801,0.756523,-0.007668,0.614974,1.964188,1.572232
10,54,12.035365,0.739301,11.999474,12.035365,13.547424,13.184668,54,0.255951,0.259587,0.266754,0.310024,0.885544,0.645425
11,54,12.421882,0.787615,12.386841,12.421882,14.052490,13.727485,54,0.483485,0.259634,0.466454,0.487020,0.998947,0.903001
12,54,12.250713,0.683081,12.251122,12.250713,13.732742,13.389993,54,-0.408933,0.450142,-0.235054,0.454759,1.419785,1.190857
13,54,12.217399,0.848062,12.182884,12.217399,14.072601,13.555626,54,-0.165311,0.298871,-0.075272,0.232428,0.980438,0.757483
14,54,11.464595,0.959831,11.514542,11.464595,13.023407,12.929014,54,0.224885,0.194598,0.238228,0.248666,0.818787,0.543498
15,54,10.158745,0.740986,10.397530,10.158745,11.290817,10.967159,54,-0.375475,0.355870,-0.455742,0.458521,0.971191,0.857867
16,54,11.717413,0.706538,11.869797,11.717413,12.960106,12.496276,54,1.053592,0.345958,0.971542,1.053592,2.369797,1.738496
17,54,11.379199,1.694429,11.321083,11.379199,14.349640,13.746112,54,0.264096,1.011664,0.209236,0.884017,1.824203,1.736415
18,54,11.394716,0.606335,11.473633,11.394716,12.731750,12.285429,54,-0.047627,0.396722,0.045616,0.306619,0.959274,0.888127
19,54,11.337983,0.852394,11.412540,11.337983,12.982285,12.559486,54,-0.130780,0.180905,-0.098709,0.175427,0.579254,0.460266
20,54,11.779557,0.368136,11.701591,11.779557,12.720139,12.482879,54,-0.190719,0.389566,-0.101883,0.326453,1.077805,0.928374
21,54,11.845372,0.492343,11.821049,11.845372,13.043381,12.700866,54,-0.240498,0.546880,-0.115509,0.447867,1.388245,1.299041
22,54,12.097333,0.873206,12.075592,12.097333,13.751099,13.341040,54,0.404913,0.258381,0.443001,0.431675,0.891830,0.748440
23,54,12.205685,0.484779,12.201149,12.205685,13.149292,13.091982,54,-0.198745,0.375699,-0.068211,0.308382,1.079544,0.920830
24,54,10.552674,1.137603,10.601944,10.552674,12.434128,12.314004,54,-0.800677,0.585266,-0.806755,0.808313,1.932266,1.742172
25,54,11.988732,0.476875,11.950020,11.988732,13.062836,12.772596,54,-0.271830,0.456568,-0.118469,0.385696,1.242111,1.119992
26,54,12.493227,0.538167,12.438194,12.493227,13.611816,13.418167,54,-0.046496,0.402780,0.008400,0.337070,0.959442,0.721594
27,54,11.709580,0.741624,11.639084,11.709580,13.317642,12.839406,54,-0.038513,0.239104,-0.029091,0.191504,0.666580,0.393431
28,54,11.502551,0.592330,11.510586,11.502551,12.709671,12.387251,54,-0.166775,0.264266,-0.123650,0.237505,0.862701,0.610360
29,54,11.349024,0.432085,11.449776,11.349024,12.063324,11.923330,54,-0.008646,0.198560,-0.034843,0.155954,0.538857,0.363760
30,54,12.011192,0.907600,12.017097,12.011192,13.591583,13.422082,54,0.175612,0.186039,0.212128,0.215764,0.554810,0.448386
31,54,12.085569,0.694698,12.054970,12.085569,13.338470,13.165103,54,0.141537,0.306293,0.235291,0.286920,0.654984,0.590815
