corner_index,x,y
0,180.913132,163.811417
1,203.414139,163.507187
2,226.191360,163.242096
3,248.942520,162.841843
4,272.075439,162.517899
5,295.165619,162.233261
6,318.358551,161.738617
7,341.903717,161.511673
8,365.437958,161.308304
9,181.126053,186.478943
10,203.685043,186.195374
11,226.524750,185.884125
12,249.358826,185.481079
13,272.474030,185.312653
14,295.320282,185.171219
15,318.542297,184.777344
16,342.183075,184.604279
17,365.751190,184.365662
18,181.387924,209.176865
19,204.075974,208.856598
20,226.789322,208.550308
21,249.619064,208.423264
22,272.613281,208.080933
23,295.571106,208.148117
24,318.712952,208.105148
25,342.300629,207.874878
26,366.185577,207.697861
27,181.548218,231.760895
28,204.365036,231.521042
29,226.981445,231.366928
30,249.781052,231.164825
31,272.948486,230.902603
32,295.830597,230.835159
33,318.973602,230.923874
34,342.544250,230.865021
35,366.386353,230.783859
36,181.848465,254.284409
37,204.543915,254.212250
38,227.335220,253.880615
39,250.225983,253.788757
40,273.316223,253.677277
41,296.232727,253.745285
42,319.288361,253.812668
43,342.760010,254.055344
44,366.617310,254.129807
45,182.028458,276.705811
46,204.715363,276.694031
47,227.547104,276.555206
48,250.405426,276.675262
49,273.447723,276.703552
50,296.488861,276.717987
51,319.617828,277.103394
52,343.108948,276.954041
53,367.034363,277.318481
